,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"7 rings","Ariana Grande",6706913,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
2,Shallow,"Lady Gaga",5174337,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
3,Sucker,"Jonas Brothers",5168503,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
4,"Con Calma","Daddy Yankee",4544816,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
5,"break up with your girlfriend, i'm bored","Ariana Grande",4508148,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
6,Wow.,"Post Malone",3834691,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
7,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3563295,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB
8,"Dancing With A Stranger (with Normani)","Sam Smith",3035404,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
9,"Calma - Remix","Pedro Capó",3019740,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
10,"thank u, next","Ariana Grande",2977963,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
11,Secreto,"Anuel AA",2967869,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
12,Happier,Marshmello,2955091,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
13,"bury a friend","Billie Eilish",2930913,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
14,"MIDDLE CHILD","J. Cole",2908958,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
15,"Sweet but Psycho","Ava Max",2883629,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
16,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",2846195,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
17,"Without Me",Halsey,2791115,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
18,"Baila Baila Baila",Ozuna,2663132,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
19,Talk,Khalid,2618004,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
20,Robbery,"Juice WRLD",2444901,https://open.spotify.com/track/44ShclXTOOnYtt5CnCDeGV
21,"Giant (with Rag'n'Bone Man)","Calvin Harris",2367650,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
22,"Murder On My Mind","YNW Melly",2360525,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
23,"i'm so tired...",Lauv,2351454,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
24,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",2348020,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
25,"Going Bad (feat. Drake)","Meek Mill",2221378,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
26,"MIA (feat. Drake)","Bad Bunny",2200010,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
27,"Don't Call Me Up",Mabel,2077147,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
28,"High Hopes","Panic! At The Disco",2047627,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
29,"Adan y Eva","Paulo Londra",2017977,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
30,"Bohemian Rhapsody - 2011 Mix",Queen,1945077,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
31,"SICKO MODE","Travis Scott",1909392,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
32,"a lot","21 Savage",1833615,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
33,Thotiana,Blueface,1831073,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
34,"Look Back at It","A Boogie Wit da Hoodie",1781383,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
35,"Eastside (with Halsey & Khalid)","benny blanco",1760171,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
36,Desconocidos,"Mau y Ricky",1741130,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
37,"Who Do You Love","The Chainsmokers",1697960,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
38,"Please Me","Cardi B",1688623,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
39,"Pure Water (with Migos)",Mustard,1650050,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
40,"Better Now","Post Malone",1588206,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
41,"Ella Quiere Beber - Remix","Anuel AA",1575190,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
42,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1572250,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
43,"Girls Like You (feat. Cardi B)","Maroon 5",1556444,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
44,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",1546527,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
45,"Let Me Down Slowly","Alec Benjamin",1523013,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
46,Amanece,"Anuel AA",1509340,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
47,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1481813,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
48,"Rule The World (feat. Ariana Grande)","2 Chainz",1481682,https://open.spotify.com/track/1R6VwZ8TuHRzxZUxe88n4I
49,"Be Alright","Dean Lewis",1450604,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
50,"Always Remember Us This Way","Lady Gaga",1444304,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
51,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,1432682,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy
52,"Te Vi","Piso 21",1425356,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
53,"Un Año","Sebastian Yatra",1403906,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
54,"Hear Me Calling","Juice WRLD",1403078,https://open.spotify.com/track/5UYK9MervBCROg8AHNeEIy
55,"Lucid Dreams","Juice WRLD",1381996,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
56,"bad idea","Ariana Grande",1370128,https://open.spotify.com/track/7EQpvVujgytLVY8vKiDHAg
57,NASA,"Ariana Grande",1364324,https://open.spotify.com/track/4SPu0Ql902hTVXkBoNIYtq
58,needy,"Ariana Grande",1359604,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ
59,Better,Khalid,1354879,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
60,"rockstar (feat. 21 Savage)","Post Malone",1353099,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
61,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",1343074,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
62,"when the party's over","Billie Eilish",1312372,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
63,"Mo Bamba","Sheck Wes",1312048,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
64,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",1311228,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
65,SAD!,XXXTENTACION,1304223,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
66,"Someone You Loved","Lewis Capaldi",1292145,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
67,I,"Lil Skies",1291747,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
68,lovely,"Billie Eilish",1282430,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
69,bloodline,"Ariana Grande",1269008,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX
70,"Promises (with Sam Smith)","Calvin Harris",1250738,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
71,"Wake Up in the Sky","Gucci Mane",1231611,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
72,"Whip (feat. Travis Scott)","2 Chainz",1230980,https://open.spotify.com/track/6Z4rmc0uujCpl8yXe3yjgI
73,"Don't Stop Me Now - 2011 Mix",Queen,1229221,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
74,Adictiva,"Daddy Yankee",1227507,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
75,"Another One Bites The Dust - Remastered 2011",Queen,1226938,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
76,Moonlight,XXXTENTACION,1222067,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
77,"In My Mind",Dynoro,1216250,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
78,imagine,"Ariana Grande",1193457,https://open.spotify.com/track/39LmTF9RgyakzSYX8txrow
79,"Saturday Nights",Khalid,1183951,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
80,365,Zedd,1180807,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d
81,"Red Room",Offset,1173947,https://open.spotify.com/track/4TWflhgevIGo448fWc6mQq
82,Youngblood,"5 Seconds of Summer",1170789,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
83,"I Like It","Cardi B",1168337,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
84,Almeda,Solange,1154547,https://open.spotify.com/track/6IAgarq2wDeYzpsY2Kx0Hw
85,"Say My Name","David Guetta",1150794,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
86,"Girls Need Love (with Drake) - Remix","Summer Walker",1140695,https://open.spotify.com/track/0mfCH4nfpshBQR9ueZP5eP
87,2002,Anne-Marie,1100976,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
88,"Shape of You","Ed Sheeran",1094403,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
89,"Last Hurrah","Bebe Rexha",1093581,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
90,"Bola Rebola",Tropkillaz,1088664,https://open.spotify.com/track/1OUPXna2MCgAt3VNmXJBtg
91,"Taste (feat. Offset)",Tyga,1083348,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
92,"11 Minutes (with Halsey feat. Travis Barker)",YUNGBLUD,1082821,https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4
93,Reggaeton,"J Balvin",1073879,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
94,"Legacy (feat. Travis Scott & 21 Savage)",Offset,1072166,https://open.spotify.com/track/7pMRoGLEJuFM2wl5pt0R99
95,"NI BIEN NI MAL","Bad Bunny",1067071,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
96,"Body (feat. brando)","Loud Luxury",1055207,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
97,"no tears left to cry","Ariana Grande",1052289,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
98,Money,"Cardi B",1022291,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
99,"God's Plan",Drake,1011388,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
100,"Bad Girls (feat. Gucci Mane)","Lil Skies",1007391,https://open.spotify.com/track/0hCHNYL8ApQCGNwJrYN1FY
101,HP,Maluma,999461,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
102,"Under Pressure - Remastered",Queen,996928,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
103,"One Kiss (with Dua Lipa)","Calvin Harris",993128,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
104,"fake smile","Ariana Grande",992166,https://open.spotify.com/track/3wFLWP0FcIqHK1wb1CPthQ
105,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,991991,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
106,"Armed And Dangerous","Juice WRLD",988707,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
107,Believer,"Imagine Dragons",983598,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
108,"Love Someone","Lukas Graham",982489,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
109,Imposible,"Luis Fonsi",981744,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF
110,"Bad Liar","Imagine Dragons",980968,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
111,"Walk Me Home",P!nk,978445,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
112,"Think About You",Kygo,975680,https://open.spotify.com/track/3Kuu5vASpXK8oRsxOvau6P
113,"Psycho (feat. Ty Dolla $ign)","Post Malone",972828,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
114,"Mixed Personalities (feat. Kanye West)","YNW Melly",967522,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
115,"Jocelyn Flores",XXXTENTACION,957722,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
116,Perfect,"Ed Sheeran",957052,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
117,Bubalu,"Becky G",955637,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
118,"Leave Me Alone","Flipp Dinero",952984,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
