,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
119,"I Like Me Better",Lauv,938131,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
120,"No Sleep (feat. Bonn)","Martin Garrix",937204,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B
121,Créeme,"KAROL G",931900,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
122,"Lost In Japan","Shawn Mendes",925215,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
123,"Speechless (feat. Erika Sirola)","Robin Schulz",923905,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
124,"Let You Love Me","Rita Ora",916019,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
125,idontwannabeyouanymore,"Billie Eilish",900910,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
126,IDGAF,"Dua Lipa",897484,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
127,Natural,"Imagine Dragons",894724,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
128,"Solo de Mi","Bad Bunny",894380,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
129,"In My Feelings",Drake,881072,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
130,"Beautiful (feat. Camila Cabello)",Bazzi,875738,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
131,"Somebody To Love - 2011 Mix",Queen,875157,https://open.spotify.com/track/4rDbp1vnvEhieiccprPMdI
132,"Almost (Sweet Music)",Hozier,873120,https://open.spotify.com/track/7uttm8Iurm5uK67Vr9G2Sp
133,"Pa Olvidarte (feat. Manuel Turizo) - Remix",ChocQuibTown,864513,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX
134,"Momma I Hit A Lick (feat. Kendrick Lamar)","2 Chainz",862205,https://open.spotify.com/track/7jKUnzzOGhAlPjr7LkIUlE
135,Nonstop,Drake,859473,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
136,Splashin,"Rich The Kid",851555,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
137,"Ruin My Life","Zara Larsson",845075,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
138,"The Middle",Zedd,840983,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
139,"Too Good At Goodbyes","Sam Smith",838787,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
140,"We Will Rock You - Remastered",Queen,836770,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
141,"Best Part (feat. Daniel Caesar)",H.E.R.,832511,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
142,"Vaina Loca",Ozuna,831452,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
143,"Havana (feat. Young Thug)","Camila Cabello",830689,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
144,Thunder,"Imagine Dragons",829973,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
145,ghostin,"Ariana Grande",821639,https://open.spotify.com/track/4lD7gHKF1e8Y9stQuVezZB
146,"I Fall Apart","Post Malone",821259,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
147,FRIENDS,Marshmello,819725,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
148,"Solo (feat. Demi Lovato)","Clean Bandit",819698,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
149,"Esclavo de Tus Besos","Manuel Turizo",813991,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
150,"Stay Flo",Solange,811241,https://open.spotify.com/track/6GCIYIWUBSLontW6divqsw
151,"Forever Alone","Paulo Londra",809782,https://open.spotify.com/track/5NPzbTzFxIQPaheZuPhn4f
152,Sola,"Manuel Turizo",808098,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
153,bellyache,"Billie Eilish",804791,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
154,"This Feeling","The Chainsmokers",802782,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
155,"Say You Won't Let Go","James Arthur",802198,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
156,Shotgun,"George Ezra",801636,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
157,Flux,"Ellie Goulding",785963,https://open.spotify.com/track/4zb3kFL9fXrrfTwIY4CcDy
158,"New Rules","Dua Lipa",782416,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
159,changes,XXXTENTACION,780889,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
160,"Electricity (with Dua Lipa)","Silk City",776338,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
161,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",774920,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
162,"Happy Now",Kygo,774759,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
163,"No Stylist (feat. Drake)","French Montana",772400,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
164,"Te Boté - Remix","Nio Garcia",771814,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
165,Congratulations,"Post Malone",768666,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
166,"Better When You're Gone","David Guetta",766811,https://open.spotify.com/track/4Tvw0lweq9l2JPQKFbpbBQ
167,Baby,Amenazzy,765378,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp
168,"Kiss and Make Up","Dua Lipa",763019,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
169,"Nowadays Pt. 2 (feat. Landon Cube)","Lil Skies",751710,https://open.spotify.com/track/0Goo25lbtpwor5vb0K2r21
170,"Space Cadet (feat. Gunna)","Metro Boomin",751396,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
171,BEBE,6ix9ine,745283,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn
172,"Look Alive (feat. Drake)","BlocBoy JB",743171,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
173,"Asesina - Remix",Brytiago,741711,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
174,Nobody,"Martin Jensen",734115,https://open.spotify.com/track/2qfEcCkEo5NscA9GL7ER72
175,Rise,"Jonas Blue",727128,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
176,"ocean eyes","Billie Eilish",726920,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
177,"in my head","Ariana Grande",726144,https://open.spotify.com/track/4T652DlATVHe0jdLKaN3Bw
178,MALA,6ix9ine,724784,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
179,"Bones (feat. OneRepublic)",Galantis,720171,https://open.spotify.com/track/1pfgsjmxVZhoZpeDx6POKv
180,"Ric Flair Drip (& Metro Boomin)",Offset,717187,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
181,Closer,"The Chainsmokers",716254,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
182,"Big Plans","Why Don't We",709130,https://open.spotify.com/track/6Yx181fZzA0YE2EkUsYruq
183,"Vamos pra Gaiola","MC Kevin o Chris",708257,https://open.spotify.com/track/7FiIQXpIeLo3ITfGGpb8PB
184,"Be Like Me (feat. Lil Wayne)","Lil Pump",705087,https://open.spotify.com/track/6flur5o18COKeafnjLHRiJ
185,"Ta To Gucci (Remix)",Cauty,701584,https://open.spotify.com/track/7kuRvjpeUcn6qNV9IBXC2C
186,Culpables,"KAROL G",701390,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
187,"Ya No Tiene Novio","Sebastian Yatra",699901,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
188,"Falling Down - Bonus Track","Lil Peep",697555,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
189,"XO Tour Llif3","Lil Uzi Vert",696269,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
190,"Swan Song - From the Motion Picture ""Alita: Battle Angel""","Dua Lipa",694996,https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l
191,Africa,TOTO,694326,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
192,"Killer Queen - 2011 Mix",Queen,694315,https://open.spotify.com/track/4cIPLtg1avt2Jm3ne9S1zy
193,Noticed,"Lil Mosey",693814,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
194,"In My Blood","Shawn Mendes",693052,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
195,"Dile la Verdad","The Rudeboyz",692573,https://open.spotify.com/track/6qP73DRFGojLuIk1siIhNE
196,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,690202,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
197,"I Love It (& Lil Pump)","Kanye West",689936,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
198,KIKA,6ix9ine,689370,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
199,"Burnin' Up","Jonas Brothers",686991,https://open.spotify.com/track/68r3esIMdWpIeZqWZQDnfY
200,Aullando,"Wisin & Yandel",684453,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
