,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
25,"Piece Of Your Heart",MEDUZA,1863692,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
26,"Tal Vez","Paulo Londra",1855858,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
27,"Calma - Remix","Pedro Capó",1847467,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
28,"Pa Mí - Remix",Dalex,1831038,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
29,Wow.,"Post Malone",1809736,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
30,"Te Robaré","Nicky Jam",1805578,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
31,"Verte Ir","DJ Luian",1765033,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
32,Suge,DaBaby,1743640,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
33,Happier,Marshmello,1724192,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
34,Easier,"5 Seconds of Summer",1707138,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
35,"Sweet but Psycho","Ava Max",1705295,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
36,"Con Altura",ROSALÍA,1673209,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
37,"bury a friend","Billie Eilish",1667670,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
38,Press,"Cardi B",1657203,https://open.spotify.com/track/6dPyzkyZwoj9LqjQXOFdVv
39,HP,Maluma,1646166,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
40,"Here With Me",Marshmello,1636324,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
41,"when the party's over","Billie Eilish",1563594,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
42,"Dancing With A Stranger (with Normani)","Sam Smith",1562731,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
43,Callaita,"Bad Bunny",1561894,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
44,"Find U Again (feat. Camila Cabello)","Mark Ronson",1537648,https://open.spotify.com/track/1HpzOCZbNWzxvvXfSGtSrX
45,"Pop Out (feat. Lil Tjay)","Polo G",1522465,https://open.spotify.com/track/5AjINjwKyRvQJhSe2zpPHi
46,"11 PM",Maluma,1522266,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
47,"Without Me",Halsey,1494993,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
48,"Go Loko (feat. Tyga, Jon Z)",YG,1475326,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
49,"Rescue Me",OneRepublic,1473755,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
50,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,1439012,https://open.spotify.com/track/3y3brCCecHC3Db18aIOnny
51,"Boy With Luv (feat. Halsey)",BTS,1435467,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
52,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,1409554,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
53,Paradise,Bazzi,1342466,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
54,"lovely (with Khalid)","Billie Eilish",1329719,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
55,"i'm so tired...",Lauv,1309845,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
56,"So Am I","Ava Max",1307363,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
57,Secreto,"Anuel AA",1289369,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
58,"Call You Mine","The Chainsmokers",1286369,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
59,"MIDDLE CHILD","J. Cole",1283915,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
60,"thank u, next","Ariana Grande",1280634,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
61,Nightmare,Halsey,1275094,https://open.spotify.com/track/340UVheS8z3ncW9TTUhAbc
62,"High Hopes","Panic! At The Disco",1260530,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
63,"Contra La Pared","Sean Paul",1238765,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1
64,"Bohemian Rhapsody - 2011 Mix",Queen,1221172,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
65,"Eastside (with Halsey & Khalid)","benny blanco",1209156,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
66,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",1198817,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
67,"wish you were gay","Billie Eilish",1187889,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
68,"Homicide (feat. Eminem)",Logic,1185886,https://open.spotify.com/track/2MuMD298IpYqKF367wegUd
69,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",1165925,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
70,Isis,"Joyner Lucas",1161835,https://open.spotify.com/track/36TO60sxDduIsO3xH8IcUh
71,"No Me Conoce - Remix","Jhay Cortez",1158047,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
72,"3 Nights","Dominic Fike",1139724,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
73,"break up with your girlfriend, i'm bored","Ariana Grande",1127236,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
74,"Kill This Love",BLACKPINK,1123009,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
75,"Que Mas Pues - Remix",Sech,1103456,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
76,"rockstar (feat. 21 Savage)","Post Malone",1099983,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
77,"On My Way","Alan Walker",1091257,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
78,"MIA (feat. Drake)","Bad Bunny",1086154,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
79,"Adan y Eva","Paulo Londra",1085437,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
80,"SICKO MODE","Travis Scott",1078467,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
81,"Shape of You","Ed Sheeran",1077452,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
82,"Better Now","Post Malone",1075720,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
83,Sixteen,"Ellie Goulding",1065162,https://open.spotify.com/track/4PkIDTPGedm0enzdvilLNd
84,"Girls Like You (feat. Cardi B)","Maroon 5",1058785,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
85,"Baila Baila Baila - Remix",Ozuna,1057063,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt
86,"Going Bad (feat. Drake)","Meek Mill",1054650,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
87,"Let Me Down Slowly","Alec Benjamin",1050491,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
88,"Pure Water (with Migos)",Mustard,1043061,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
89,"Giant (with Rag'n'Bone Man)","Calvin Harris",1027861,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
90,Ritual,Tiësto,1016134,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
91,"Te Vi","Piso 21",1016033,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
92,Better,Khalid,1015116,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
93,"Lucid Dreams","Juice WRLD",987831,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
94,"Baila Baila Baila",Ozuna,986770,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
95,"Who Do You Love","The Chainsmokers",986760,https://open.spotify.com/track/5QiNbIilmMiMBXvaAlf7lN
96,Believer,"Imagine Dragons",975787,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
97,"Sanguine Paradise","Lil Uzi Vert",970189,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
98,Soldi,Mahmood,958636,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3
99,"Murder On My Mind","YNW Melly",955722,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
100,"Si Se Da","Myke Towers",937932,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
101,SAD!,XXXTENTACION,935136,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
102,"All Day And Night - Jax Jones & Martin Solveig Present Europa","Jax Jones",932858,https://open.spotify.com/track/3O83h4LS797N23DpweeRAa
103,Youngblood,"5 Seconds of Summer",916792,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
104,Aullando,"Wisin & Yandel",914675,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
105,"In My Mind",Dynoro,910344,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
106,"I Like It","Cardi B",903212,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
107,"Vossi Bop",Stormzy,898985,https://open.spotify.com/track/44ZJ4hLD5onikKsVLQaILr
108,"Be Alright","Dean Lewis",894422,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
109,"Esclavo de Tus Besos","Manuel Turizo",889305,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
110,"Bad Liar","Imagine Dragons",888814,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
111,"Don't Stop Me Now - 2011 Mix",Queen,883717,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
112,"you should see me in a crown","Billie Eilish",881604,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
113,"Aute Cuture",ROSALÍA,879843,https://open.spotify.com/track/7dQFpbs34ufIEU745DVclf
114,"Not Ok",Kygo,876558,https://open.spotify.com/track/6aoGtdWXBkYQ2O2wnyIz2x
115,Arcade,"Duncan Laurence",875208,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD
116,Perfect,"Ed Sheeran",872979,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
117,Robbery,"Juice WRLD",870084,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
118,"What I Like About You (feat. Theresa Rex)","Jonas Blue",867647,https://open.spotify.com/track/4NSW0Km5ZG60L8FthUebPJ
119,"Look Back at It","A Boogie Wit da Hoodie",852637,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
120,"Love Thru The Computer (feat. Justin Bieber)","Gucci Mane",850686,https://open.spotify.com/track/1VsqQEYObJsOPaeZwEXRPg
121,Moonlight,XXXTENTACION,850253,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
122,"Envy Me",Calboy,849693,https://open.spotify.com/track/7rvyVWja33WG9R97oeJAjx
123,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",839658,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
124,Amanece,"Anuel AA",833596,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
125,"Get You The Moon (feat. Snøw)",Kina,829953,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
126,2002,Anne-Marie,824497,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
127,"God's Plan",Drake,823240,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
128,"I Like Me Better",Lauv,821532,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
129,Desconocidos,"Mau y Ricky",818319,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
130,"Ella Quiere Beber - Remix","Anuel AA",817399,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
131,"Under Enemy Arms","Trippie Redd",816622,https://open.spotify.com/track/1NF9EkR5OpMaoVWbsllcm9
132,"Just Us (feat. SZA)","DJ Khaled",815157,https://open.spotify.com/track/0BnTBAGmr9FtYwkZrwKhwS
133,"Another One Bites The Dust - Remastered 2011",Queen,809739,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
134,Thunder,"Imagine Dragons",808233,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
135,"Taste (feat. Offset)",Tyga,804478,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
136,"Clout (feat. Cardi B)",Offset,804447,https://open.spotify.com/track/59ywHNwwchG4nZJMLyxSzd
137,"Wieder Lila",Samra,800345,https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We
138,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",793181,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
139,Cuaderno,Dalex,791892,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
140,"Todo Mundo Vai Sofrer - Ao Vivo","Marília Mendonça",780435,https://open.spotify.com/track/4E6RdcCWMiHTu7zy1VTNDo
141,Earth,"Lil Dicky",775228,https://open.spotify.com/track/2S1LebN6AXXQqJolBxlWgO
142,"Body (feat. brando)","Loud Luxury",772344,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
143,"D.R.E.A.M. (feat. Ghostface Killah)","Miley Cyrus",769058,https://open.spotify.com/track/42zePe03Iq8tvFcJAIKkp8
144,"One Kiss (with Dua Lipa)","Calvin Harris",767098,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
145,"La Haine",Luciano,763534,https://open.spotify.com/track/2AHJLtc81zIfj9EKcVEzmJ
146,"Promises (with Sam Smith)","Calvin Harris",760710,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
147,"Always Remember Us This Way","Lady Gaga",752939,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
148,Unholy,"Miley Cyrus",750797,https://open.spotify.com/track/6vjymPak0JRQC2P84XlI9t
149,"Broke Leg (with Quavo & Tyga)","Tory Lanez",746111,https://open.spotify.com/track/5CKtlUULFD5aPVX4PL02H6
150,"Un Año","Sebastian Yatra",738253,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
151,Bruises,"Lewis Capaldi",736965,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
152,"Jocelyn Flores",XXXTENTACION,735032,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
153,"my strange addiction","Billie Eilish",731254,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK
154,"Psycho (feat. Ty Dolla $ign)","Post Malone",727436,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
155,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",724663,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
156,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John",722215,https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY
157,"Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles)","Paulo Londra",718767,https://open.spotify.com/track/3H9GDhVVTlmFQSmpt51qiP
158,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",709972,https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p
159,"Say You Won't Let Go","James Arthur",708056,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
160,"Walk Me Home",P!nk,707785,https://open.spotify.com/track/6jfEZdUJ2Yla6h7gTJgKuo
161,"Dancin (feat. Luvli) - Krono Remix","Aaron Smith",706572,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM
162,"The Middle",Zedd,705016,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
163,"Havana (feat. Young Thug)","Camila Cabello",704830,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
164,"Mixed Personalities (feat. Kanye West)","YNW Melly",702432,https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL
165,ReBoTa,Guayna,702106,https://open.spotify.com/track/3LzJUPmudZeeJhUpeXYcuV
166,"Falling Like The Stars","James Arthur",699186,https://open.spotify.com/track/15xWRPHQMeqgdkGzInx3PY
167,"In My Feelings",Drake,697630,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
168,"Under Pressure - Remastered",Queen,695030,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
169,"New Rules","Dua Lipa",693096,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
170,Swing,"Danny Ocean",692676,https://open.spotify.com/track/4DbhxwlkhTbCTqlZptxmI6
171,IDGAF,"Dua Lipa",692642,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
172,"The Search",NF,689952,https://open.spotify.com/track/2OKo7g3KfmCt3kyLvUAL0g
173,xanny,"Billie Eilish",689412,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY
174,"ocean eyes","Billie Eilish",689222,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
175,"a lot","21 Savage",688895,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
176,"Hold Me While You Wait","Lewis Capaldi",686262,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM
177,"all the good girls go to hell","Billie Eilish",686102,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
178,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",684188,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
179,"Mo Bamba","Sheck Wes",674704,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
180,Africa,TOTO,674209,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
181,Closer,"The Chainsmokers",673898,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
182,"Love Me Less (feat. Quinn XCII)",MAX,668185,https://open.spotify.com/track/2tOOcDDYkh0PSjr6GwPEAJ
183,"Saturday Nights",Khalid,666915,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
184,"Wonderwall - Remastered",Oasis,665304,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
185,"Lost In Japan","Shawn Mendes",664650,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
186,Photograph,"Ed Sheeran",664520,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
187,"i love you","Billie Eilish",663014,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
188,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",657318,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
189,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",655186,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
190,Congratulations,"Post Malone",651588,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
191,"Wish Wish (feat. Cardi B & 21 Savage)","DJ Khaled",650394,https://open.spotify.com/track/1Hd2XLitkt1PYCWSbfF5qV
192,Malediven,MERO,650069,https://open.spotify.com/track/0H0MIfeqip6GKmafftx7kC
193,"Date La Vuelta","Luis Fonsi",647880,https://open.spotify.com/track/5lwVd35Zg6DJ4qibVMq99H
194,"I THINK","Tyler, The Creator",647851,https://open.spotify.com/track/4f8Mh5wuWHOsfXtzjrJB3t
195,"Too Good At Goodbyes","Sam Smith",646478,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
196,"Something Just Like This","The Chainsmokers",645996,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
197,"no tears left to cry","Ariana Grande",645974,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
198,"I'm Yours","Jason Mraz",645563,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
199,"Please Me","Cardi B",643646,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
200,Natural,"Imagine Dragons",642339,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
