,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Don't Care (with Justin Bieber)","Ed Sheeran",5899834,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
2,"bad guy","Billie Eilish",5544512,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
3,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",5132472,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
4,"Otro Trago",Sech,3638864,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
5,"Old Town Road","Lil Nas X",3350200,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
6,"If I Can't Have You","Shawn Mendes",3277309,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
7,"Con Calma","Daddy Yankee",2915925,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
8,"Soltera - Remix",Lunay,2901602,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
9,"Someone You Loved","Lewis Capaldi",2755407,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
10,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2674072,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
11,"The London (feat. J. Cole & Travis Scott)","Young Thug",2641289,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
12,Sucker,"Jonas Brothers",2531647,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
13,SOS,Avicii,2530764,https://open.spotify.com/track/0n2nEtLP3OzDdi12ziIekx
14,"Never Really Over","Katy Perry",2468943,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
15,EARFQUAKE,"Tyler, The Creator",2385746,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
16,"7 rings","Ariana Grande",2275999,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
17,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",2260939,https://open.spotify.com/track/543bCW2ruMPmxUBWirQ3MR
18,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",2068149,https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM
19,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",2007176,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
20,"Talk (feat. Disclosure)",Khalid,1997456,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
21,"Truth Hurts",Lizzo,1991547,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
22,"Mother's Daughter","Miley Cyrus",1972916,https://open.spotify.com/track/2WyRfGeHo97VC5mP1BBSzr
23,Shallow,"Lady Gaga",1967048,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
24,"Don't Call Me Up",Mabel,1932537,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
