,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Babushka Boi","A$AP Rocky",1084683,https://open.spotify.com/track/643PW82aBMUa1FiWi5VQY7
56,"Talk (feat. Disclosure)",Khalid,1074799,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
57,"I Forgot That You Existed","Taylor Swift",1061839,https://open.spotify.com/track/43rA71bccXFGD4C8GOpIlN
58,"lovely (with Khalid)","Billie Eilish",1060525,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
59,"SICKO MODE","Travis Scott",1060126,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
60,Wow.,"Post Malone",1032486,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
61,"Doin' Time","Lana Del Rey",1007744,https://open.spotify.com/track/0Oqc0kKFsQ6MhFOLBNZIGX
62,"Otro Trago",Sech,1006571,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
63,"Did It Again","Lil Tecca",1002203,https://open.spotify.com/track/6alCTRgBPoeAFi2N4il9Q4
64,Suge,DaBaby,997480,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
65,"Bohemian Rhapsody - 2011 Mix",Queen,995869,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
66,"Old Town Road","Lil Nas X",984505,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
67,"when the party's over","Billie Eilish",981181,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
68,"One Thing Right",Marshmello,981036,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
69,"Si Se Da - Remix","Myke Towers",979399,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
70,"Verte Ir","DJ Luian",967779,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
71,"bad guy (with Justin Bieber)","Billie Eilish",967308,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
72,"Calma - Remix","Pedro Capó",966215,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
73,"rockstar (feat. 21 Savage)","Post Malone",955138,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
74,"Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion",950475,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
75,"Rescue Me",OneRepublic,936906,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
76,"Love Me","Lil Tecca",924079,https://open.spotify.com/track/3TLwAp3uX1nKsVxrDhNPOL
77,"Without Me",Halsey,922903,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
78,"Fuck it I love you","Lana Del Rey",922329,https://open.spotify.com/track/7MtVPRGtZl6rPjMfLoI3Lh
79,"Ransom (with Juice WRLD) - Remix","Lil Tecca",922083,https://open.spotify.com/track/0DZJACISivjWjscIp5Kg1q
80,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",918749,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
81,"Never Really Over","Katy Perry",915114,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
82,"Dancing With A Stranger (with Normani)","Sam Smith",908097,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
83,"hot girl bummer",blackbear,901458,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
84,"Better Now","Post Malone",899611,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
85,"3 Nights","Dominic Fike",896902,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
86,"Post Malone (feat. RANI)","Sam Feldt",892320,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
87,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",888807,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
88,"Bad Bad Bad (feat. Lil Baby)","Young Thug",885586,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
89,"Paper Rings","Taylor Swift",875700,https://open.spotify.com/track/4y5bvROuBDPr5fuwXbIBZR
90,"Eastside (with Halsey & Khalid)","benny blanco",873267,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
91,"thank u, next","Ariana Grande",870918,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
92,"Te Robaré","Nicky Jam",864442,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
93,Believer,"Imagine Dragons",859830,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
94,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,856039,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
95,"Sweet but Psycho","Ava Max",856036,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
96,Instagram,"Dimitri Vegas & Like Mike",845624,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
97,"Baby (Lil Baby feat. DaBaby)","Quality Control",843371,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
98,"Tal Vez","Paulo Londra",841194,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
99,"Don't Call Me Up",Mabel,829291,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
100,"Shape of You","Ed Sheeran",826831,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
101,"The Git Up","Blanco Brown",824795,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
102,"SOS (feat. Aloe Blacc)",Avicii,823202,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
103,"Pop Out (feat. Lil Tjay)","Polo G",822380,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
104,"bury a friend","Billie Eilish",813279,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
105,"Miss Americana & The Heartbreak Prince","Taylor Swift",804992,https://open.spotify.com/track/214nt20w5wOxJnY462klLw
106,"Let Me Down Slowly","Alec Benjamin",799990,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
107,"I Think He Knows","Taylor Swift",792365,https://open.spotify.com/track/2YWtcWi3a83pdEg3Gif4Pd
108,Cuaderno,Dalex,787387,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
109,"Pa Mí - Remix",Dalex,784767,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
110,"The Archer","Taylor Swift",782073,https://open.spotify.com/track/3pHkh7d0lzM2AldUtz2x37
111,"Lucid Dreams","Juice WRLD",781057,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
112,Runaway,"Sebastian Yatra",777803,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
113,Atrévete,"Nicky Jam",777551,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50
114,"Girls Like You (feat. Cardi B)","Maroon 5",771941,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
115,Shots,"Lil Tecca",770683,https://open.spotify.com/track/5xjei7JnROsAzLY2a7RdZU
116,comethru,"Jeremy Zucker",766181,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
117,goosebumps,"Travis Scott",764663,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
118,"High Hopes","Panic! At The Disco",759460,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
